bcr,rep,species,dissim,ks_cmi,ks_gpp,ks_led,bc_lcc
BCR4,0,deciduousbirds,0.496,0.245,0.231,0.23,0.253
BCR4,1,deciduousbirds,0.202,0.194,0.094,0.137,0.099
BCR4,1,deciduousbirds,0.196,0.187,0.117,0.142,0.125
BCR4,1,deciduousbirds,0.193,0.186,0.142,0.15,0.124
BCR4,1,deciduousbirds,0.203,0.186,0.118,0.179,0.069
BCR4,1,deciduousbirds,0.202,0.193,0.123,0.151,0.128
BCR4,1,deciduousbirds,0.199,0.192,0.148,0.159,0.127
BCR4,1,deciduousbirds,0.215,0.192,0.124,0.187,0.073
BCR4,1,deciduousbirds,0.161,0.133,0.117,0.14,0.119
BCR4,1,deciduousbirds,0.158,0.166,0.142,0.148,0.118
BCR4,1,deciduousbirds,0.172,0.132,0.116,0.177,0.074
BCR4,1,deciduousbirds,0.245,0.165,0.175,0.057,0.156
BCR4,1,deciduousbirds,0.263,0.199,0.178,0.07,0.142
BCR4,1,deciduousbirds,0.211,0.177,0.039,0.125,0.097
BCR4,1,deciduousbirds,0.196,0.163,0.055,0.127,0.094
BCR4,1,deciduousbirds,0.194,0.162,0.066,0.142,0.114
BCR4,1,deciduousbirds,0.195,0.161,0.056,0.124,0.091
BCR4,1,deciduousbirds,0.196,0.191,0.096,0.146,0.115
BCR4,1,deciduousbirds,0.199,0.162,0.051,0.161,0.18
